frame,vehicle_count,avg_wait_time_seconds,congestion_status
597,10,12.52,Moderate congestion
598,10,12.55,Moderate congestion
599,10,12.59,Moderate congestion
600,10,12.62,Moderate congestion
601,10,12.65,Moderate congestion
602,10,12.69,Moderate congestion
603,10,12.72,Moderate congestion
604,10,12.75,Moderate congestion
605,11,11.62,High congestion
606,11,11.66,High congestion
607,11,11.69,High congestion
608,11,11.72,High congestion
609,11,11.76,High congestion
610,11,11.79,High congestion
611,11,11.82,High congestion
612,11,11.86,High congestion
613,11,11.89,High congestion
614,11,11.92,High congestion
615,11,11.96,High congestion
616,11,11.99,High congestion
617,11,12.02,High congestion
618,11,12.06,High congestion
619,11,12.09,High congestion
620,11,12.12,High congestion
621,11,12.16,High congestion
622,11,12.19,High congestion
623,11,12.22,High congestion
624,11,12.26,High congestion
625,11,12.29,High congestion
626,11,12.32,High congestion
627,11,12.36,High congestion
628,11,12.39,High congestion
629,11,12.42,High congestion
630,11,12.46,High congestion
631,11,12.49,High congestion
632,11,12.52,High congestion
